Tue Nov 15 11:28:48 2022    exec.dat

         654919 function calls (597728 primitive calls) in 10.796 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.015    0.000    0.050    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:600(paint)
    26/21    0.014    0.001    6.950    0.331 {function QtBaseCanvasBackend.event at 0x7f6aa801c700}
      126    0.014    0.000    0.014    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:448(glEnableVertexAttribArray)
       32    0.014    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
       50    0.013    0.000    0.013    0.000 {built-in method play}
      126    0.013    0.000    0.013    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1333(glVertexAttribPointer)
      116    0.013    0.000    0.022    0.000 {method 'sub' of 're.Pattern' objects}
      745    0.013    0.000    0.013    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:346(boundingRect)
     7476    0.013    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/type_check.py:303(iscomplexobj)
       35    0.013    0.000    0.013    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:502(glCreateBuffer)
      132    0.012    0.000    0.012    0.000 {built-in method drawText}
     1087    0.012    0.000    0.016    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:48(boundingRect)
       44    0.012    0.000    0.012    0.000 {built-in method resizeColumnsToContents}
        4    0.012    0.003    0.012    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1092(glTexImage2D)
      475    0.012    0.000    0.012    0.000 /usr/lib/python3.8/enum.py:175(<dictcomp>)
  1650/15    0.012    0.000    6.893    0.460 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:402(__call__)
     5004    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x90b780}
      150    0.011    0.000    0.016    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
     7476    0.011    0.000    2.829    0.000 <__array_function__ internals>:177(interp)
      849    0.011    0.000    0.013    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:233(mkColor)
      107    0.011    0.000    0.011    0.000 {built-in method numpy.zeros}
        6    0.011    0.002    0.011    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:951(glLinkProgram)
      308    0.011    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/parametertree/parameterTypes/basetypes.py:247(eventFilter)
     3198    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
      475    0.010    0.000    0.360    0.001 /usr/lib/python3.8/enum.py:430(_create_)
      811    0.010    0.000    0.020    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:352(mkPen)
   540/92    0.010    0.000    0.022    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:212(_RegularMessageToJsonObject)
        9    0.010    0.001    0.010    0.001 {built-in method context}
      108    0.010    0.000    0.010    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:638(glGetError)
    13196    0.009    0.000    0.012    0.000 {built-in method builtins.getattr}
       88    0.009    0.000    0.010    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:575(glGetActiveUniform)
       21    0.009    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:293(glDeleteBuffer)
     1017    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7476    0.009    0.000    0.032    0.000 <__array_function__ internals>:177(iscomplexobj)
2153/2059    0.009    0.000    0.374    0.000 /usr/lib/python3.8/enum.py:313(__call__)
       58    0.009    0.000    5.544    0.096 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:237(_text_to_vbo)
       63    0.008    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1358(glViewport)
     3449    0.008    0.000    0.023    0.000 /usr/lib/python3.8/re.py:289(_compile)
      215    0.008    0.000    0.008    0.000 {built-in method numpy.arange}
       90    0.008    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:391(glDisable)
      104    0.008    0.000    0.029    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/widgets/VerticalLabel.py:35(paintEvent)
       44    0.008    0.000    0.008    0.000 {built-in method resizeRowsToContents}
        9    0.008    0.001    0.008    0.001 {built-in method swapBuffers}
       15    0.007    0.000    0.080    0.005 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:245(set_mapping)
     1897    0.007    0.000    0.008    0.000 /usr/lib/python3.8/types.py:171(__get__)
        1    0.007    0.007    0.007    0.007 {built-in method gc.get_objects}
     4502    0.007    0.000    0.009    0.000 /usr/lib/python3.8/enum.py:12(_is_descriptor)
       21    0.007    0.000    0.007    0.000 /usr/lib/python3.8/sre_parse.py:978(addgroup)
      434    0.007    0.000    0.017    0.000 {built-in method setPos}
       88    0.007    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:831(glGetUniformLocation)
       44    0.007    0.000    0.014    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/play/playinfo_widget.py:41(set_data)
25950/25856    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      138    0.007    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:528(linkedView)
       50    0.006    0.000    0.261    0.005 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:342(draw_team)
      475    0.006    0.000    0.010    0.000 /usr/lib/python3.8/enum.py:579(_find_new_)
        6    0.006    0.001    0.006    0.001 {built-in method child}
20102/20096    0.006    0.000    0.007    0.000 {built-in method builtins.hasattr}
      325    0.006    0.000    0.037    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/LegendItem.py:349(paint)
       12    0.006    0.000    0.006    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1021(glShaderSource)
       57    0.006    0.000    0.089    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:161(_set_st)
     1425    0.006    0.000    0.007    0.000 /usr/lib/python3.8/enum.py:543(_find_data_type)
       14    0.006    0.000    0.006    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:559(glGetActiveAttrib)
