Tue Nov 15 11:22:36 2022    exec.dat

         402176 function calls (356651 primitive calls) in 5.170 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1425    0.004    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:543(_find_data_type)
       32    0.003    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:420(pen)
     2603    0.003    0.000    0.003    0.000 {built-in method mapRectFromParent}
       58    0.003    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/simulator_layer.py:33(paint)
       10    0.003    0.000    0.018    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:245(set_mapping)
      684    0.003    0.000    0.018    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:58(drawRobot)
     3002    0.003    0.000    0.004    0.000 /usr/lib/python3.8/types.py:171(__get__)
     5446    0.003    0.000    0.003    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:171(_IsMapEntry)
       58    0.003    0.000    0.328    0.006 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:483(paint)
      400    0.003    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:72(drawSegment)
