Tue Nov 15 11:33:40 2022    exec.dat

         447384 function calls (399713 primitive calls) in 4.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.005    0.000    0.128    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/play/playinfo_widget.py:71(refresh)
   544/15    0.005    0.000    0.169    0.011 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:402(__call__)
     3077    0.004    0.000    0.004    0.000 {built-in method geometry}
 1186/200    0.004    0.000    0.043    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:201(_MessageToJsonObject)
      180    0.004    0.000    0.004    0.000 {built-in method drawEllipse}
      660    0.004    0.000    0.011    0.000 /usr/lib/python3.8/queue.py:153(get)
       60    0.004    0.000    0.014    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:275(draw_field)
       18    0.004    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:439(glEnable)
      420    0.004    0.000    0.004    0.000 {built-in method pixmap}
     1260    0.004    0.000    0.004    0.000 /usr/lib/python3.8/_collections_abc.py:760(__iter__)
       38    0.004    0.000    0.004    0.000 {built-in method setHtml}
      474    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      720    0.003    0.000    0.018    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:58(drawRobot)
      360    0.003    0.000    0.017    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
      420    0.003    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:72(drawSegment)
       60    0.003    0.000    0.356    0.006 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:483(paint)
     1425    0.003    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:543(_find_data_type)
     3115    0.003    0.000    0.004    0.000 /usr/lib/python3.8/types.py:171(__get__)
     4502    0.003    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:12(_is_descriptor)
     5670    0.003    0.000    0.003    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:171(_IsMapEntry)
     2687    0.003    0.000    0.003    0.000 {built-in method mapRectFromParent}
     1862    0.003    0.000    0.003    0.000 {built-in method setSizeHint}
      812    0.003    0.000    0.003    0.000 {built-in method drawLine}
       12    0.003    0.000    0.003    0.000 {built-in method setFont}
    17592    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      475    0.003    0.000    0.006    0.000 /usr/lib/python3.8/enum.py:579(_find_new_)
    15095    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1445    0.003    0.000    0.003    0.000 {built-in method update}
     5122    0.003    0.000    0.018    0.000 {built-in method builtins.setattr}
      747    0.002    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:573(informViewBoundsChanged)
     1425    0.002    0.000    0.007    0.000 /usr/lib/python3.8/enum.py:532(_get_mixins_)
     8693    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.002    0.002    0.002    0.002 {built-in method header}
      500    0.002    0.000    0.011    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/thread_safe_buffer.py:39(get)
      237    0.002    0.000    0.004    0.000 {built-in method alignment}
      100    0.002    0.000    0.021    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field.py:106(refresh)
      788    0.002    0.000    0.003    0.000 {built-in method setRenderHint}
     2409    0.002    0.000    0.002    0.000 {built-in method normalized}
