Tue Nov 15 12:01:59 2022    exec.dat

         1160897 function calls (1092410 primitive calls) in 5.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5454/1212    0.007    0.000    0.054    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:201(_MessageToJsonObject)
     7177    0.007    0.000    0.218    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/function_base.py:1456(interp)
80577/80483    0.007    0.000    0.007    0.000 {built-in method builtins.len}
     8693    0.007    0.000    0.008    0.000 /usr/lib/python3.8/enum.py:417(__setattr__)
      606    0.007    0.000    0.016    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field.py:106(refresh)
     3624    0.006    0.000    0.038    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:58(drawRobot)
     3966    0.006    0.000    0.006    0.000 {built-in method drawLine}
     2114    0.006    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:72(drawSegment)
     3198    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
     8529    0.006    0.000    0.006    0.000 {built-in method update}
       42    0.006    0.000    0.006    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:142(glBufferSubData)
12120/4242    0.006    0.000    0.027    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:276(_FieldToJsonObject)
    14219    0.006    0.000    0.006    0.000 {built-in method mapRectFromParent}
      475    0.006    0.000    0.007    0.000 /usr/lib/python3.8/enum.py:200(<setcomp>)
7568/7474    0.005    0.000    0.099    0.000 /usr/lib/python3.8/enum.py:313(__call__)
    69972    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
       28    0.005    0.000    0.193    0.007 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:664(<listcomp>)
        6    0.005    0.001    0.005    0.001 {built-in method setStyleSheet}
       12    0.005    0.000    0.009    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/glir.py:623(_convert_desktop_shader)
      116    0.005    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     1425    0.004    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:543(_find_data_type)
    10858    0.004    0.000    0.006    0.000 /usr/lib/python3.8/types.py:171(__get__)
     5004    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x90b780}
       88    0.004    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:831(glGetUniformLocation)
       30    0.004    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1289(glUseProgram)
     9090    0.004    0.000    0.004    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:171(_IsMapEntry)
      198    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
    12823    0.004    0.000    0.004    0.000 {built-in method normalized}
