Tue Nov 15 12:00:56 2022    exec.dat

         1158139 function calls (1089395 primitive calls) in 4.889 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.008    0.001    0.008    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:418(glDrawElements)
    11248    0.008    0.000    0.008    0.000 {built-in method setSizeHint}
    14712    0.008    0.000    0.008    0.000 {built-in method geometry}
      126    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     3558    0.007    0.000    0.018    0.000 /usr/lib/python3.8/queue.py:153(get)
     7177    0.007    0.000    0.196    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/function_base.py:1456(interp)
     6198    0.007    0.000    0.007    0.000 /usr/lib/python3.8/_collections_abc.py:760(__iter__)
     5356    0.007    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:25(boundingRect)
       43    0.007    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:142(glBufferSubData)
79834/79704    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      200    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3882    0.006    0.000    0.006    0.000 {built-in method drawLine}
5334/1188    0.006    0.000    0.052    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:201(_MessageToJsonObject)
      594    0.006    0.000    0.014    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field.py:106(refresh)
     2066    0.006    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:72(drawSegment)
     3540    0.006    0.000    0.036    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field_layer.py:58(drawRobot)
     8361    0.006    0.000    0.006    0.000 {built-in method update}
      143    0.006    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
       10    0.006    0.001    0.006    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:165(glClear)
