sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
-2.42705,1.76336,0.4,2.63441,0,0,3,0,0.5,0,0,0,0.0434558,0.0132425,0.0421028,0.0529701,-0.00405909,0.119183,-0.0508528,0.193582,-0.0472984,0.25505,0.00666832,0.303562,0.111047,0.339117,0.265839,0.361715,0.471043,0.371356,0.726659,0.36804,1.03269,0.351767,1.38913,0.322538,1.7649,0.280351,2.09258,0.225208,2.36985,0.159176,2.5967,0.101429,2.77314,0.0566398,2.89918,0.024807,2.97479,0.00593109,3,-8.32667e-17,2,0,0.5,3.66882
-2.42705,1.76336,0.6,3.15848,0,0,3,0,0.5,0,0,0,0.046757,0.0190354,0.0291038,0.0761415,-0.0529596,0.171318,-0.196717,0.303291,-0.313105,0.430271,-0.359047,0.532045,-0.334543,0.608612,-0.239592,0.659973,-0.0741948,0.686128,0.161649,0.687077,0.467939,0.66282,0.844676,0.613357,1.29186,0.538687,1.74701,0.438812,2.13195,0.315077,2.44644,0.201649,2.69049,0.113428,2.86409,0.0504123,2.96725,0.0126031,3,0,2,0,0.5,4.31697
-2.42705,1.76336,0.8,3.74344,0,0,3,0,0.5,0,0,0,0.0483474,0.0267391,0.00621755,0.106956,-0.12639,0.240652,-0.349474,0.427825,-0.613821,0.643324,-0.788844,0.820411,-0.867524,0.955496,-0.849862,1.04858,-0.735856,1.09967,-0.525507,1.10875,-0.218815,1.07583,0.184221,1.00092,0.683599,0.883999,1.26795,0.725081,1.79748,0.525007,2.23067,0.336005,2.56752,0.189003,2.80802,0.0840012,2.95218,0.0210003,3,0,2,0,0.5,5.48688
-2.42705,1.76336,1,4.39877,0,0,3,0,0.5,0,0,0,0.0475052,0.0369204,-0.0299176,0.147682,-0.232268,0.332284,-0.559547,0.590727,-0.985523,0.908886,-1.31925,1.18394,-1.52255,1.39535,-1.59545,1.5431,-1.53793,1.6272,-1.34999,1.64765,-1.03164,1.60445,-0.582878,1.4976,-0.00369832,1.3271,0.691085,1.09294,1.38793,0.795644,1.97116,0.509212,2.42398,0.286432,2.74638,0.127303,2.93837,0.0318258,3,-2.22045e-16,2,0,0.5,6.79754
-2.42705,1.76336,1.2,4.92374,0,0,3,0,0.5,0,0,0,0.0448303,0.0462587,-0.0668654,0.185035,-0.335087,0.416328,-0.759835,0.74014,-1.33226,1.1194,-1.83333,1.43015,-2.16819,1.66722,-2.33681,1.83061,-2.33922,1.92032,-2.17539,1.93634,-1.84535,1.87868,-1.34907,1.74734,-0.686576,1.54231,0.111858,1.2636,0.923346,0.917129,1.6702,0.586687,2.25199,0.329492,2.66755,0.14598,2.91689,0.0361504,3,0,2,0,0.5,7.84747
-2.42705,1.76336,1.4,4.92628,0,0,3,0,0.5,0,0,0,0.0448131,0.0463065,-0.0670617,0.185226,-0.335624,0.416759,-0.760875,0.740904,-1.33384,1.12014,-1.84027,1.42007,-2.18171,1.6438,-2.35564,1.79633,-2.36207,1.87766,-2.20099,1.88779,-1.8724,1.82673,-1.3763,1.69447,-0.71269,1.49101,0.0900292,1.21635,0.907361,0.878643,1.65993,0.560754,2.24621,0.313778,2.66498,0.137999,2.91625,0.0334181,3,1.11022e-16,2,0,0.5,7.85256
-2.42705,1.76336,1.6,4.93584,0,0,3,0,0.5,0,0,0,0.0447477,0.0464864,-0.0678011,0.185946,-0.337646,0.418378,-0.764788,0.743782,-1.33952,1.12349,-1.84579,1.42194,-2.19311,1.63077,-2.37222,1.76882,-2.38168,1.83903,-2.22148,1.84139,-1.89163,1.7759,-1.39212,1.64257,-0.722951,1.44139,0.0878851,1.17236,0.914089,0.847508,1.67001,0.542773,2.25695,0.30531,2.67425,0.135693,2.92188,0.0339233,3,-1.11022e-16,2,0,0.5,7.87168
-2.42705,1.76336,1.8,4.93341,0,0,3,0,0.5,0,0,0,0.0447644,0.0464407,-0.0676131,0.185763,-0.337132,0.417966,-0.763793,0.743051,-1.33808,1.12264,-1.84452,1.42119,-2.19383,1.62686,-2.3826,1.74676,-2.40106,1.80126,-2.24863,1.79163,-1.92528,1.71788,-1.43104,1.58001,-0.765884,1.37801,0.0470981,1.11189,0.879797,0.801035,1.64481,0.512997,2.23996,0.288561,2.6642,0.128249,2.91754,0.0320623,3,-2.22045e-16,2,0,0.5,7.86682
-2.42705,1.76336,2,4.93277,0,0,3,0,0.5,0,0,0,0.0447687,0.0464286,-0.0675635,0.185714,-0.336997,0.417858,-0.763531,0.742858,-1.3377,1.12241,-1.84419,1.421,-2.19358,1.62672,-2.38588,1.73959,-2.415,1.77268,-2.27184,1.74568,-1.95629,1.65879,-1.46836,1.512,-0.808044,1.30531,0.00660437,1.03891,0.846611,0.747048,1.62094,0.478211,2.22428,0.268815,2.65524,0.119314,2.91381,0.0297097,3,2.22045e-16,2,0,0.5,7.86554
-2.93444,0.623735,0.2,2.21802,0,0,3,0,0.5,0,0,0,0.0372933,0.00326548,0.039686,0.0129029,0.0553216,0.0234985,0.107815,0.0323967,0.197167,0.0395975,0.323377,0.045101,0.486445,0.048907,0.686372,0.0510157,0.923156,0.0514269,1.1968,0.0501408,1.5073,0.0471573,1.82054,0.0424764,2.09698,0.0360981,2.33655,0.0280224,2.53927,0.0192051,2.70514,0.0119793,2.83414,0.00645093,2.92628,0.00261994,2.98157,0.000486333,3,-1.38778e-17,2,0,0.5,7.39962
-2.93444,0.623735,0.4,2.72167,0,0,3,0,0.5,0,0,0,0.0407023,0.00491685,0.0267255,0.0196674,-0.041728,0.0442251,-0.103368,0.0705529,-0.109643,0.0922839,-0.0605513,0.109418,0.0439058,0.121956,0.203729,0.129897,0.418918,0.133241,0.689472,0.131988,1.01539,0.126139,1.39668,0.115692,1.78974,0.10065,2.12813,0.0810099,2.41117,0.0574593,2.63883,0.0367739,2.81113,0.0206853,2.92806,0.00919349,2.98963,0.00229837,3,1.38778e-17,2,0,0.5,3.84335
-2.93444,0.623735,0.6,3.23562,0,0,3,0,0.5,0,0,0,0.0422508,0.00694914,0.0072219,0.0277966,-0.105087,0.0625422,-0.288087,0.110219,-0.432072,0.154726,-0.498044,0.190339,-0.486002,0.217058,-0.395945,0.234884,-0.227875,0.243815,0.0182099,0.243852,0.342309,0.234995,0.744422,0.217244,1.22455,0.190599,1.71173,0.155061,2.12106,0.111175,2.45237,0.0711518,2.70568,0.0400229,2.88097,0.0177879,2.97824,0.00444699,3,0,2,0,0.5,4.47125
